channel_prob,hamming_bit_error_probs,ldpc_bit_error_probs_100,ldpc_bit_error_probs_200,ldpc_bit_error_probs_500,ldpc_bit_error_probs_1000
1.0e-5,6.250062500625006e-9,3.7500376128772575e-9,0.0,1.2500126063771354e-9,0.0
1.623776739188721e-5,0.0,6.089261460757316e-9,0.0,0.0,0.0
2.6366508987303607e-5,3.29590051674974e-9,6.59180103349948e-9,6.591802163247536e-9,0.0,0.0
4.281332398719396e-5,1.6055683679911322e-8,2.6759473945563268e-8,3.7463272345766224e-8,1.0703781787395406e-8,1.0703800577063296e-8
6.951927961775606e-5,8.690514039734003e-8,9.559563449846915e-8,1.738103593407512e-8,1.7381027475267755e-8,3.476202474055015e-8
0.00011288378916846895,1.8345686471879505e-7,8.467240866020363e-8,1.9756881971145243e-7,7.056026885607466e-8,1.4112119889345175e-8
0.00018329807108324357,3.895797946501986e-7,1.8333163446018735e-7,3.4374684612268683e-7,3.208295074414571e-7,1.1458235556389919e-7
0.00029763514416313193,8.559558749536296e-7,1.4141883883522085e-6,5.58231178268224e-7,1.4886124866303992e-7,2.232950972732989e-7
0.0004832930238571752,3.0220420494183657e-6,5.500121848853267e-6,1.3297004305811758e-6,6.64853912254273e-7,4.230859892052632e-7
0.0007847599703514615,6.872042567395103e-6,1.2566050301899359e-5,4.319573006281444e-6,1.4725765023127305e-6,3.9268907193435497e-7
0.0012742749857031334,1.3715933449015005e-5,2.9824104766497992e-5,1.1004728524511517e-5,2.711258036487792e-6,3.5086241982793706e-6
0.00206913808111479,3.7840068174325563e-5,6.142531614599425e-5,3.654372080389965e-5,2.047468085415185e-5,6.738998584810297e-6
0.003359818286283781,0.00010029160415999461,0.00017656557620216294,0.00011798773601761051,6.110140979914913e-5,2.064698377062802e-5
0.00545559478116852,0.0002468485666326564,0.000533458401215572,0.00034902410392004127,0.00014879931977453817,6.307418072123954e-5
0.008858667904100823,0.000693798934610847,0.001512768030317927,0.0009183782914141685,0.0004993476084936012,0.00022230166000134052
0.01438449888287663,0.001826135816342912,0.004048324478953821,0.00267469439883233,0.0014796030066408815,0.0007007606172533103
0.023357214690901226,0.004570892175971875,0.012475783884623663,0.00886878855995026,0.005595542695903776,0.004058334827565597
0.0379269019073225,0.011811838448347229,0.031072611163670768,0.028701129709587745,0.024298236974293314,0.023569388358120752
0.06158482110660264,0.028424005775036093,0.07461119496029923,0.07405098592473507,0.07625824879346006,0.07849896582290948
0.1,0.06652777777777778,0.15153576982892691,0.1494946970958965,0.1511173339248087,0.15263902763902765
